Time Doctor Sign (ms);Time Produce Derived Proof (ms);Time to Verify (ms)
283.98;282.29;168.30;;;;265.78;346.20;193.51
436.54;287.24;248.22
246.65;327.05;149.39
216.87;293.53;189.50
273.33;279.22;187.10
216.67;294.59;232.76
216.56;282.32;208.47
306.49;321.26;205.92
255.00;413.00;197.05
253.25;373.42;220.84
251.37;342.55;200.61
236.22;371.99;215.36
295.03;322.09;201.61
227.40;331.87;176.14
324.26;330.95;224.93
234.75;352.27;268.49
257.53;352.96;171.04
244.30;378.93;208.49
330.94;364.83;215.81
263.85;326.43;201.79
268.04;351.44;196.07
402.45;349.88;203.65
306.40;358.54;206.91
274.51;412.84;188.27
316.42;319.29;229.18
290.11;330.55;168.67
305.25;320.95;188.92
294.20;346.53;174.20
251.34;301.76;188.60
261.13;346.98;169.95
267.97;351.20;196.02
252.23;321.81;199.94
265.21;327.42;373.94
270.44;360.07;163.20
280.45;343.36;203.57
231.78;359.24;180.65
270.17;322.54;189.93
237.58;425.51;249.33
237.37;423.70;183.45
253.29;323.76;182.49
341.93;343.17;191.96
249.55;324.90;159.11
242.98;337.64;199.95
258.89;312.95;170.26
231.00;413.24;227.18
247.72;314.56;223.46
234.70;312.93;202.08
245.72;368.28;186.73
248.55;331.76;184.64
237.28;314.68;232.73
281.74;306.53;172.10
241.35;323.71;221.34
240.06;308.72;201.89
237.17;317.13;181.09
289.53;375.95;175.63
255.00;344.42;165.78
254.97;370.86;207.82
251.72;327.55;193.10
231.13;362.20;192.49
284.86;346.66;182.43
231.61;306.20;176.55
250.17;355.91;209.14
277.02;317.07;181.28
241.57;308.54;178.20
427.90;349.96;161.25
262.58;352.41;213.74
288.20;319.72;196.96
224.30;310.67;188.83
230.75;316.47;174.84
287.37;403.77;266.19
260.53;349.06;192.63
261.62;352.55;209.16
253.28;316.14;174.45
278.16;344.70;184.35
244.54;322.60;211.21
218.48;326.84;192.68
246.47;328.43;152.88
237.52;366.38;184.52
223.05;326.06;176.76
309.28;322.10;174.52
286.99;348.63;179.74
249.82;368.18;168.44
231.95;295.35;183.13
290.09;318.55;226.44
264.45;319.51;185.01
242.24;344.35;198.30
239.51;344.14;180.02
249.23;368.84;159.47
229.98;362.34;192.90
285.97;319.05;154.13
303.24;381.58;190.37
251.69;343.00;179.16
234.21;350.19;158.81
252.57;321.40;160.84
335.49;330.09;151.42
259.06;319.91;200.66
241.41;373.69;163.67
243.99;368.82;166.69
243.38;338.20;252.07
285.87;345.88;178.62
264.86;449.11;196.07
350.45;346.35;174.81
232.85;309.54;221.97
246.11;368.71;198.75
240.72;350.96;179.69
257.16;353.97;197.18
249.68;322.40;156.85
224.44;330.75;233.05
264.02;360.76;184.56
244.17;308.61;178.94
244.98;379.85;187.01
290.96;315.97;154.49
228.67;313.14;161.00
286.30;333.88;172.64
271.72;307.17;217.77
232.42;362.39;184.29
226.59;339.65;168.73
236.83;318.08;190.89
283.24;325.54;235.31
253.07;301.01;187.26
264.89;349.78;178.30
278.05;333.50;195.62
235.27;312.30;187.29
261.69;327.89;208.66
279.53;317.78;245.60
230.80;359.33;187.42
235.28;324.02;171.44
222.56;316.62;167.96
249.56;391.92;280.67
247.08;311.85;207.73
232.74;324.15;178.41
306.03;329.39;176.08
290.50;358.27;217.45
253.11;318.46;165.14
224.10;312.86;163.00
237.43;346.46;191.82
280.51;318.84;164.93
259.00;331.56;219.94
260.93;369.17;195.30
301.88;352.88;210.73
299.63;351.25;171.99
253.42;345.98;184.93
247.16;368.76;169.27
271.58;320.70;155.15
242.87;309.38;176.10
231.72;312.59;157.45
261.79;369.30;186.76
238.81;303.09;216.94
263.31;363.92;180.86
293.73;318.46;164.59
234.11;311.24;188.10
241.51;321.73;214.81
235.80;318.05;205.17
265.46;377.87;193.80
274.55;347.25;175.15
266.44;348.30;194.54
333.00;376.39;238.81
266.37;346.20;194.42
228.70;338.25;181.78
