Execution Number;Time (ms)
1;283.98
2;268.04
3;246.65
4;216.87
5;273.33
6;216.67
7;216.56
8;306.49
9;255.00
10;253.25
11;251.37
12;236.22
13;295.03
14;227.40
15;324.26
16;234.75
17;257.53
18;244.30
19;330.94
20;263.85
21;268.04
22;267.42
23;306.40
24;274.51
25;316.42
26;290.11
27;305.25
28;294.20
29;251.34
30;261.13
31;334.94
32;252.23
33;265.21
34;270.44
35;280.45
36;231.78
37;270.17
38;237.58
39;237.37
40;253.29
41;341.93
42;249.55
43;242.98
44;258.89
45;231.00
46;247.72
47;234.70
48;245.72
49;248.55
50;237.28
51;281.74
52;241.35
53;240.06
54;237.17
55;289.53
56;255.00
57;254.97
58;251.72
59;231.13
60;284.86
61;231.61
62;250.17
63;277.02
64;241.57
65;267.42
66;262.58
67;288.20
68;224.30
69;230.75
70;287.37
71;260.53
72;261.62
73;253.28
74;278.16
75;244.54
76;218.48
77;246.47
78;237.52
79;223.05
80;309.28
81;286.99
82;249.82
83;231.95
84;290.09
85;264.45
86;242.24
87;239.51
88;249.23
89;229.98
90;285.97
91;303.24
92;251.69
93;234.21
94;252.57
95;335.49
96;259.06
97;241.41
98;243.99
99;243.38
100;285.87
101;264.86
102;350.45
103;232.85
104;246.11
105;240.72
106;257.16
107;249.68
108;224.44
109;264.02
110;244.17
111;244.98
112;290.96
113;228.67
114;286.30
115;271.72
116;232.42
117;226.59
118;236.83
119;283.24
120;253.07
121;264.89
122;278.05
123;235.27
124;261.69
125;279.53
126;230.80
127;235.28
128;222.56
129;249.56
130;247.08
131;232.74
132;306.03
133;290.50
134;253.11
135;224.10
136;237.43
137;280.51
138;259.00
139;260.93
140;301.88
141;299.63
142;253.42
143;247.16
144;271.58
145;242.87
146;231.72
147;261.79
148;238.81
149;263.31
150;293.73
151;234.11
152;241.51
153;235.80
154;265.46
155;274.55
156;268.04
157;333.00
158;332.91
159;228.70
160;238.48
161;224.97
162;256.87
163;249.80
164;250.00
165;291.48
166;253.58
167;345.83
168;257.94
169;228.62
170;254.80
171;299.84
172;231.66
173;320.33
174;236.31
175;236.74
176;272.36
177;267.82
178;271.02
179;240.91
180;232.80
181;259.28
182;227.50
183;221.84
184;256.96
185;235.81
186;226.70
187;233.11
188;317.59
189;236.65
190;243.70
191;237.90
192;299.27
193;246.89
194;261.58
195;249.62
196;284.04
197;239.00
198;264.53
199;247.28
200;230.23
201;231.83
202;229.77
203;239.65
204;290.52
205;254.98
206;237.34
207;237.77
208;265.52
209;244.77
210;246.12
211;280.24
212;260.62
213;247.80
214;323.17
215;268.04
216;233.60
217;270.77
218;235.15
219;226.93
220;231.31
221;263.12
222;284.55
223;227.35
224;237.02
225;296.10
226;236.37
227;254.36
228;243.80
229;248.36
230;246.57
231;234.56
232;307.74
233;239.20
234;235.72
235;268.79
236;221.79
237;269.55
238;283.67
239;249.43
240;239.72
241;253.07
242;250.26
243;238.14
244;227.61
245;269.22
246;246.75
247;288.80
248;284.41
249;241.24
250;277.79
251;292.55
252;228.67
253;259.47
254;227.20
255;243.70
256;241.79
257;256.44
258;254.69
259;228.76
260;261.30
261;234.40
262;298.27
263;267.63
264;242.65
265;281.07
266;235.92
267;255.57
268;259.51
269;224.16
270;226.08
271;249.66
272;237.07
273;303.47
274;239.70
275;303.16
276;239.01
277;231.73
278;266.42
279;255.25
280;289.38
281;253.29
282;227.71
283;253.77
284;261.21
285;237.12
286;242.60
287;243.44
288;264.63
289;242.28
290;264.11
291;309.78
292;225.13
293;278.28
294;245.78
295;227.47
296;306.01
297;232.64
298;296.32
299;250.99
300;244.93
301;268.81
302;241.37
303;250.32
304;248.65
305;237.53
306;257.31
307;286.28
308;222.20
309;231.92
310;249.56
311;262.07
312;245.64
313;253.63
314;263.93
315;221.13
316;260.33
317;239.63
318;228.56
319;241.82
320;288.60
321;246.72
322;318.31
323;248.32
324;281.53
325;236.71
326;230.25
327;308.03
328;226.89
329;293.40
330;248.96
331;248.95
332;233.42
333;286.02
334;264.16
335;320.09
336;231.61
337;248.60
338;271.53
339;235.04
340;305.79
341;258.65
342;292.25
343;263.47
344;233.79
345;246.19
346;248.22
347;284.30
348;314.29
349;230.62
350;242.79
351;300.01
352;253.89
353;252.09
354;235.23
355;245.93
356;247.52
357;243.18
358;281.94
359;242.36
360;238.28
361;232.64
362;273.93
363;286.11
364;229.13
365;239.44
366;266.48
367;247.35
368;248.05
369;335.69
370;229.75
371;249.26
