CosmWasm (Tendermint),Hyperledger Besu (IBFT2)
5.378,5.000
5.610,5.000
5.439,5.000
5.447,5.000
5.457,5.000
5.556,5.000
5.373,5.000
5.330,5.000
5.392,5.000
5.520,5.000
5.537,5.000
5.367,5.000
5.429,5.000
5.396,5.000
5.489,5.000
5.464,5.000
5.682,5.000
5.662,5.000
5.457,5.000
5.388,5.000
5.426,5.000
5.459,5.000
5.452,5.000
5.466,5.000
5.562,5.000
5.443,5.000
5.457,5.000
5.387,5.000
5.504,5.000
5.482,5.000
5.439,5.000
5.352,5.000
5.526,5.000
5.434,5.000
5.562,5.000
5.393,5.000
5.428,5.000
5.355,5.000
5.327,5.000
5.436,5.000
5.384,5.000
5.431,5.000
5.443,5.000
5.411,5.000
5.398,5.000
5.307,5.000
5.428,5.000
5.467,5.000
5.369,5.000
5.474,5.000
5.431,5.000
5.579,5.000
5.360,5.000
5.529,5.000
5.447,5.000
5.358,5.000
5.447,5.000
5.521,5.000
5.395,5.000
5.452,5.000
5.584,5.000
5.453,5.000
5.450,5.000
5.447,5.000
5.487,5.000
5.382,5.000
5.428,5.000
5.520,5.000
5.478,5.000
5.466,5.000
5.358,5.000
5.537,5.000
5.388,5.000
5.397,5.000
5.435,5.000
5.501,5.000
5.453,5.000
5.436,5.000
5.435,5.000
5.463,5.000
5.390,5.000
5.490,5.000
5.433,5.000
5.535,5.000
5.391,5.000
5.620,5.000
5.341,5.000
5.549,5.000
5.441,5.000
5.369,5.000
5.429,5.000
5.431,5.000
5.436,5.000
5.445,5.000
5.451,5.000
5.442,5.000
5.386,5.000
5.529,5.000
5.347,5.000
5.366,5.000
5.456,5.000
5.447,5.000
5.436,5.000
5.372,5.000
5.350,5.000
5.454,5.000
5.500,5.000
5.496,5.000
5.474,5.000
5.506,5.000
5.545,5.000
5.454,5.000
5.431,5.000
5.361,5.000
5.542,5.000
5.472,5.000
5.524,5.000
5.433,5.000
5.382,5.000
5.431,5.000
5.521,5.000
5.553,5.000
5.436,5.000
5.576,5.000
5.447,5.000
5.648,5.000
5.487,5.000
5.455,5.000
5.531,5.000
5.395,5.000
5.407,5.000
5.442,5.000
5.461,5.000
5.410,5.000
5.400,5.000
5.384,5.000
5.463,5.000
5.431,5.000
5.533,5.000
5.458,5.000
5.395,5.000
5.464,5.000
5.525,5.000
5.432,5.000
5.385,5.000
5.527,5.000
5.438,5.000
5.349,5.000
5.465,5.000
5.361,5.000
5.526,5.000
5.563,5.000
5.356,5.000
5.356,5.000
5.429,5.000
5.433,5.000
5.452,5.000
5.332,5.000
5.367,5.000
5.557,5.000
5.569,5.000
5.496,5.000
5.483,5.000
5.461,5.000
5.348,5.000
5.533,5.000
5.441,5.000
5.349,5.000
5.435,5.000
5.439,5.000
5.436,5.000
5.467,5.000
5.451,5.000
5.438,5.000
5.500,5.000
5.367,5.000
5.500,5.000
5.414,5.000
5.435,5.000
5.363,5.000
5.440,5.000
5.377,5.000
5.365,5.000
5.445,5.000
5.461,5.000
5.459,5.000
5.361,5.000
5.416,5.000
5.432,5.000
5.538,5.000
5.463,5.000
5.458,5.000
5.353,5.000
5.515,5.000
5.453,5.000
5.358,5.000
5.426,5.000
5.568,5.000
5.472,5.000
5.505,5.000
5.457,5.000
5.357,5.000
5.367,5.000
5.433,5.000
5.435,5.000
5.456,5.000
5.455,5.000
5.460,5.000
5.372,5.000
5.461,5.000
5.353,5.000
5.326,5.000
5.465,5.000
5.376,5.000
5.356,5.000
5.687,5.000
5.468,5.000
5.445,5.000
5.436,5.000
5.374,5.000
5.432,5.000
5.385,5.000
5.642,5.000
5.537,5.000
5.495,5.000
5.553,5.000
5.434,5.000
5.368,5.000
5.601,5.000
5.376,5.000
5.362,5.000
5.364,5.000
5.373,5.000
5.360,5.000
5.614,5.000
5.471,5.000
5.484,5.000
5.467,5.000
5.437,5.000
5.535,5.000
5.354,5.000
5.525,5.000
5.487,5.000
5.711,5.000
5.403,5.000
5.492,5.000
5.468,5.000
5.383,5.000
5.435,5.000
5.452,5.000
5.450,5.000
5.360,5.000
5.478,5.000
5.561,5.000
5.494,5.000
5.478,5.000
5.436,5.000
5.465,5.000
5.356,5.000
5.366,5.000
5.421,5.000
5.432,5.000
5.558,5.000
5.358,5.000
5.451,5.000
5.327,5.000
5.337,5.000
5.356,5.000
5.469,5.000
5.437,5.000
5.533,5.000
5.368,5.000
5.454,5.000
5.453,5.000
5.451,5.000
5.436,5.000
5.367,5.000
5.623,5.000
5.538,5.000
5.457,5.000
5.464,5.000
5.456,5.000
5.367,5.000
5.541,5.000
5.389,5.000
5.522,5.000
5.388,5.000
5.367,5.000
5.494,5.000
5.519,5.000
5.470,5.000
5.361,5.000
5.398,5.000
5.477,5.000
5.539,5.000
5.542,5.000
5.409,5.000
5.536,5.000
5.536,5.000
5.457,5.000
5.431,5.000
5.473,5.000
5.493,5.000
5.435,5.000
5.447,5.000
5.465,5.000
5.435,5.000
5.667,5.000
5.369,5.000
5.359,5.000
5.378,5.000
5.361,5.000
5.426,5.000
5.542,5.000
5.350,5.000
5.435,5.000
5.431,5.000
5.362,5.000
5.457,5.000
5.451,5.000
5.357,5.000
5.358,5.000
5.464,5.000
5.434,5.000
5.476,5.000
5.436,5.000
5.457,5.000
5.371,5.000
5.357,5.000
5.343,5.000
5.527,5.000
5.451,5.000
5.458,5.000
5.336,5.000
5.473,5.000
5.434,5.000
5.382,5.000
5.548,5.000
5.335,5.000
5.365,5.000
5.523,5.000
5.429,5.000
5.474,5.000
5.421,5.000
5.554,5.000
5.614,5.000
5.457,5.000
5.447,5.000
5.550,5.000
5.482,5.000
5.428,5.000
5.396,5.000
5.491,5.000
5.406,5.000
5.501,5.000
5.432,5.000
5.359,5.000
5.455,5.000
5.432,5.000
5.452,5.000
5.438,5.000
5.355,5.000
5.456,5.000
5.464,5.000
5.378,5.000
5.422,5.000
5.395,5.000
5.387,5.000
5.451,5.000
5.353,5.000
5.434,5.000
5.576,5.000
5.456,5.000
5.452,5.000
5.555,5.000
5.445,5.000
5.377,5.000
5.327,5.000
5.438,5.000
5.466,5.000
5.504,5.000
5.653,5.000
5.455,5.000
5.361,5.000
5.333,5.000
5.367,5.000
5.433,5.000
5.443,5.000
5.454,5.000
5.508,5.000
5.465,5.000
5.398,5.000
5.365,5.000
5.519,5.000
