CosmWasm (Tendermint),Hyperledger Besu (IBFT2)
5.378,5.675
5.610,5.581
5.439,4.624
5.447,4.609
5.457,5.650
5.556,4.696
5.373,4.641
5.330,5.638
5.392,4.674
5.520,4.590
5.537,5.676
5.367,4.595
5.429,5.619
5.396,4.600
5.489,4.637
5.464,5.594
5.682,4.612
5.662,5.536
5.457,4.685
5.388,4.649
5.426,5.754
5.459,4.566
5.452,4.665
5.466,5.678
5.562,4.632
5.443,4.600
5.457,5.673
5.387,4.638
5.504,5.549
5.482,4.659
5.439,4.579
5.352,4.555
5.526,5.584
5.434,4.581
5.562,5.557
5.393,4.576
5.428,4.723
5.355,5.664
5.327,4.682
5.436,4.594
5.384,5.611
5.431,4.623
5.443,5.580
5.411,4.574
5.398,4.591
5.307,5.611
5.428,4.564
5.467,5.636
5.369,4.579
5.474,4.677
5.431,5.524
5.579,4.572
5.360,5.598
5.529,4.638
5.447,5.598
5.358,4.586
5.447,4.564
5.521,5.648
5.395,4.581
5.452,4.663
5.584,5.613
5.453,4.617
5.450,5.565
5.447,4.599
5.487,5.572
5.382,4.570
5.428,4.590
5.520,5.668
5.478,4.606
5.466,4.663
5.358,5.572
5.537,4.631
5.388,5.641
5.397,4.661
5.435,4.538
5.501,5.648
5.453,4.547
5.436,5.588
5.435,4.624
5.463,4.645
5.390,5.686
5.490,4.665
5.433,4.640
5.535,5.550
5.391,4.607
5.620,5.571
5.341,4.637
5.549,4.618
5.441,5.701
5.369,4.576
5.429,4.664
5.431,5.625
5.436,4.651
5.445,5.605
5.451,4.653
5.442,4.573
5.386,5.595
5.529,4.576
5.347,5.591
5.366,4.595
5.456,4.537
5.447,5.672
5.436,4.624
5.372,4.608
5.350,5.558
5.454,4.651
5.500,5.562
5.496,4.635
5.474,5.563
5.506,4.557
5.545,4.525
5.454,5.616
5.431,4.556
5.361,5.722
5.542,4.621
5.472,4.619
5.524,5.583
5.433,4.623
5.382,5.565
5.431,4.610
5.521,4.565
5.553,5.669
5.436,4.554
5.576,4.626
5.447,5.630
5.648,4.660
5.487,5.626
5.455,4.721
5.531,4.536
5.395,5.568
5.407,4.534
5.442,5.578
5.461,4.628
5.410,4.557
5.400,5.746
5.384,4.558
5.463,4.650
5.431,5.592
5.533,4.630
5.458,5.574
5.395,4.665
5.464,4.556
5.525,5.786
5.432,4.564
5.385,5.655
5.527,4.593
5.438,4.738
5.349,5.581
5.465,4.605
5.361,4.548
5.526,5.628
5.563,4.603
5.356,5.570
5.356,4.622
5.429,4.552
5.433,5.613
5.452,4.559
5.332,5.623
5.367,4.580
5.557,4.646
5.569,5.574
5.496,4.582
5.483,5.565
5.461,4.567
5.348,5.580
5.533,4.566
5.441,4.538
5.349,5.665
5.435,4.546
5.439,5.724
5.436,4.561
5.467,4.662
5.451,5.572
5.438,4.733
5.500,4.556
5.367,5.728
5.500,4.601
5.414,4.638
5.435,5.586
5.363,4.614
5.440,5.565
5.377,4.643
5.365,4.545
5.445,5.579
5.461,4.546
5.459,5.579
5.361,4.579
5.416,5.606
5.432,4.536
5.538,5.552
5.463,4.566
5.458,4.685
5.353,5.583
5.515,4.595
5.453,5.537
5.358,4.623
5.426,4.525
5.568,5.599
5.472,4.576
5.505,5.606
5.457,4.574
5.357,4.594
5.367,5.598
5.433,4.665
5.435,5.600
5.456,4.706
5.455,4.670
5.460,5.673
5.372,4.673
5.461,4.651
5.353,5.576
5.326,4.643
5.465,4.570
5.376,5.557
5.356,4.609
5.687,5.600
5.468,4.599
5.445,4.560
5.436,5.580
5.374,4.567
5.432,5.610
5.385,4.570
5.642,5.628
5.537,4.576
5.495,4.610
5.553,5.576
5.434,4.674
5.368,5.595
5.601,4.667
5.376,4.544
5.362,5.597
5.364,4.545
5.373,5.594
5.360,4.577
5.614,4.654
5.471,5.602
5.484,4.676
5.467,5.543
5.437,4.683
5.535,4.583
5.354,5.700
5.525,4.569
5.487,4.614
5.711,5.569
5.403,4.645
5.492,5.582
5.468,4.654
5.383,4.519
5.435,5.592
5.452,4.627
5.450,5.600
5.360,4.557
5.478,4.542
5.561,5.644
5.494,4.591
5.478,5.661
5.436,4.600
5.465,4.695
5.356,5.535
5.366,4.600
5.421,5.563
5.432,4.540
5.558,4.536
5.358,5.633
5.451,4.580
5.327,5.639
5.337,4.592
5.356,4.613
5.469,5.599
5.437,4.638
5.533,5.557
5.368,4.630
5.454,4.519
5.453,5.683
5.451,4.565
5.436,5.626
5.367,4.627
5.623,4.540
5.538,5.603
5.457,4.604
5.464,5.542
5.456,4.587
5.367,4.635
5.541,5.726
5.389,4.606
5.522,5.615
5.388,4.575
5.367,4.605
5.494,5.647
5.519,4.600
5.470,5.593
5.361,4.652
5.398,4.596
5.477,5.581
5.539,4.623
5.542,4.557
5.409,5.709
5.536,4.540
5.536,5.695
5.457,4.559
5.431,4.590
5.473,5.593
5.493,4.691
5.435,5.537
5.447,4.628
5.465,4.601
5.435,5.644
5.667,4.586
5.369,5.623
5.359,4.629
5.378,4.561
5.361,5.621
5.426,4.541
5.542,5.561
5.350,4.595
5.435,4.569
5.431,5.646
5.362,4.568
5.457,5.633
5.451,4.607
5.357,4.603
5.358,5.582
5.464,4.674
5.434,5.577
5.476,4.667
5.436,4.543
5.457,5.571
5.371,4.601
5.357,5.582
5.343,4.569
5.527,4.570
5.451,5.634
5.458,4.568
5.336,5.571
5.473,4.632
5.434,4.526
5.382,5.731
5.548,4.570
5.335,5.631
5.365,4.564
5.523,4.646
5.429,5.558
5.474,4.661
5.421,5.550
5.554,4.668
5.614,4.546
5.457,5.572
5.447,4.528
5.550,5.603
5.482,4.573
5.428,5.544
5.396,4.526
5.491,5.538
5.406,4.575
5.501,4.633
5.432,5.592
5.359,4.631
5.455,5.540
5.432,4.611
5.452,4.586
5.438,5.561
5.355,4.534
5.456,5.554
5.464,4.559
5.378,4.635
5.422,5.534
5.395,4.608
5.387,5.582
5.451,4.617
5.353,5.609
5.434,4.648
5.576,4.656
5.456,5.607
5.452,4.652
5.555,4.557
5.445,5.517
5.377,4.535
5.327,5.592
5.438,4.588
5.466,5.556
5.504,4.534
5.653,5.566
5.455,4.556
5.361,4.568
5.333,5.583
5.367,4.547
5.433,5.596
5.443,4.540
5.454,5.593
5.508,4.593
5.465,4.573
5.398,5.571
5.365,4.548
5.519,5.546
5.381,4.555
5.337,5.552
5.432,4.551
5.435,4.568
5.361,5.601
5.385,4.603
5.546,5.686
5.332,4.591
5.385,4.625
5.410,5.541
5.481,4.607
5.518,5.522
5.378,4.601
5.522,5.555
5.475,4.564
5.463,4.550
5.417,5.545
5.458,4.553
5.623,5.568
5.463,4.584
5.353,5.536
5.359,4.554
5.434,5.540
5.350,4.531
5.467,4.543
5.368,5.653
5.439,4.568
5.390,5.622
5.657,4.558
5.452,4.601
5.576,5.579
5.423,4.640
5.531,5.563
5.369,4.792
5.459,4.587
5.376,5.583
5.404,4.558
5.518,5.659
5.349,4.589
5.358,4.634
5.453,5.668
5.434,4.611
5.405,4.644
5.551,5.568
5.330,4.618
5.436,5.553
5.471,4.592
5.350,4.530
5.610,5.562
5.546,4.554
5.434,5.523
5.482,4.601
5.518,5.568
5.616,4.553
5.328,5.567
5.439,4.566
5.468,4.501
5.412,5.570
5.594,4.579
5.530,5.604
5.536,4.562
5.352,5.654
5.456,4.545
5.360,4.587
5.463,5.560
5.532,4.685
5.555,5.558
5.415,4.571
5.456,4.539
5.580,5.645
5.451,4.570
5.544,5.658
5.505,4.614
5.350,4.506
5.436,5.677
5.545,4.620
5.462,5.585
5.429,4.619
5.450,4.527
5.504,5.545
5.410,4.541
5.571,5.554
5.458,4.555
5.561,5.530
5.482,4.553
5.373,5.576
5.525,4.553
5.468,4.540
5.433,5.582
5.367,4.533
5.442,5.554
5.371,4.559
5.477,5.590
5.678,4.522
5.616,5.567
5.521,2.592
5.557,4.717
5.520,5.545
5.384,4.649
5.561,5.591
5.440,4.658
5.458,4.554
5.433,5.564
5.435,4.566
5.339,5.562
5.749,4.554
5.467,5.551
5.451,4.599
5.371,4.515
5.399,5.550
5.565,4.568
5.461,5.605
